disinteressato,invidioso,sconfortato,disagio,
abbattuto,disorientato,irrequieto,scontroso,
addolorato,disperato,logorato,scoraggiato,
affaticato,dispiaciuto,malinconico,scosso,
afflitto,distante,nervoso,sdegnato,
agitato,dubbioso,ostile,senso di colpa,
amareggiato,esasperato,pensoso,senso di vergogna,
angosciato,frustrato,perplesso,senza speranza,
annoiato,imbarazzato,pieno di rimorso,sfiduciato,
ansioso,indeciso,preoccupato,sfinito,
apatico,indifferente,privo di energia,solo,
arrabbiato,indignato,provato,sospettoso,
avvilito,infastidito,rassegnato,sotto pressione,
combattuto,insensibile,riluttante,spaventato,
confuso,insicuro,risentito,stanco,
disgustato,insoddisfatto,scombussolato,stizzito, arrabbiato,incazzato,furioso
